Title,Series,Date,Access Copy,KalturaID,View Online,Start Time,Stop Time,Film Reel,Reel Segment,Reporter
"Special Report. This program follows Mayor Frank Zeidler for a...","Special Report and Other Footage",3/12/1960,,1_ql6axw8n,http://collections.lib.uwm.edu/cdm/compoundobject/collection/wtmj/id/16/rec/1,2,1834,SR079 BIG,,
"Special Report. A five part series examining the gay and lesbian community in Milwaukee","Special Report and Other Footage",9/24/1973,,1_smzdj8mq,http://collections.lib.uwm.edu/cdm/compoundobject/collection/wtmj/id/5/rec/1,0,1025,"SR020 BIG, SR021 BIG, SR022",1,
"Special Topic. Footage includes students in school, interviews with Lloyd...","Special Report and Other Footage",1/1/1901,,1_umzttm9t,http://collections.lib.uwm.edu/cdm/compoundobject/collection/wtmj/id/65/rec/39,25,2007,SR038 SUPER BIG,,
"Special Topic. Footage includes May 18, 1964 Freedom Schools, a...","Special Report and Other Footage",1/1/1901,,1_ls16zw8d,http://collections.lib.uwm.edu/cdm/compoundobject/collection/wtmj/id/65/rec/39,26,1742,SR041 SUPER BIG,,
"Nowakowski – Groppi. Footage of Father Groppi at the burned...","Daily News",8/30/1967,,1_6sq9b1z4,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/26,68,601,1967.205 BIG,2,
"Footage of Father James Groppi and Prentice McKinney of the...","Daily News",8/30/1967,,1_6sq9b1z4,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/27,866,894,1967.205 BIG,6,
"People demonstrate outside the MacDowell School construction site. James Farmer...","Daily News",12/8/1965,,1_d4c7ed6j,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/28,339,600,1965.4,7,Ed Hinshaw
"People, including James Farmer of CORE, Lloyd Barbee, and Father...","Daily News",12/8/1965,,1_d4c7ed6j,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/29,64,154,1965.4,2,Ed Hinshaw
"Rallies. White power rally lead by Theodore Kolodzyk.","Daily News",9/12/1967,,1_byqbra3h,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/30,275,324,1967.214 BIG,7,
"Riot footage (extra). Footage of the aftermath of the initial...","Daily News",7/31/1967,,1_hlvbjuem,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/31,153,217,1967.177A,2,
"Maier statement. Mayor Henry Maier holds a press conference to...","Daily News",9/12/1967,,1_x5cwgs42,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/32,3,590,1967.215,1,
"Dr. Martin Luther King, Jr. comments on a number of...","Daily News",11/23/1965,,1_tcpl1z6p,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/33,420,738,1965.31 BIG,2,
"More footage of a demonstration by MUSIC. A group of...","Daily News",6/4/1965,,1_5kyxwgmo,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/34,121,203,1965.4,1,
"Footage of MUSIC picketing outside a school in protest of...","Daily News",6/4/1965,,1_5kyxwgmo,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/34,205,253,1965.4,2,
"At a Common Council meeting, Vel Phillips says she has...","Daily News",6/13/1967,,1_jrrwugd1,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/35,968,1027,1967.130 BIG,6,
"UWM sit-in. Footage of Latino protestors taking over the chancellor's...","Daily News",8/27/1970,Videocassette 47,0_7jx1cbpj,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/36,345,435,1970.149,1,
"South Side march. Police gather at the 16th Street Viaduct...","Daily News",8/29/1967,,1_34884u35,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/38,65,127,1967.202 SUPER BIG,3,
"Freedom House fire. Footage of the Freedom House at 1316...","Daily News",8/29/1967,,1_34884u35,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/38,128,155,1967.202 SUPER BIG,4,
"Extra. Father James Groppi speaks in Brookfield. Groppi reviews why...","Daily News",9/20/1967,,1_ss5qyfaf,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/39,21,390,1967.226 BIG,1,
"A small group of men belonging to the American Nazi...","Daily News",9/23/1967,,1_qqxohvrh,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/40,199,258,1967.229 BIG,4,
"Uwm b-roll. Silent footage of Klotsche and Latin activists at...","Daily News",8/31/1970,Videocassette 47,0_zah7dzl7,http://collections.lib.uwm.edu/cdm/ref/collection/wtmj/id/41,239,272,1970.152,7,
